"Class","Compound","gene","change_freq","change_int","Cell_line"
"Multiple","(+)-Abscisic Acid","Canx",0.69108268946942,0.11538098168452,"HCT116"
"Multiple","(+)-Abscisic Acid","Dnajc5",0.0795748888980801,0.0551305414221701,"HCT116"
"Multiple","(+)-Abscisic Acid","Egfr",-0.178764469654037,-0.062219601027601,"HCT116"
"Multiple","(+)-Abscisic Acid","Errfi1",0.15599465426545,0.0767703609086501,"HCT116"
"Multiple","(+)-Abscisic Acid","Gapdh",-0.00214138500035699,-0.00622248501392997,"HCT116"
"Multiple","(+)-Abscisic Acid","Kpnb1",0.08825831591178,0.0524605104928499,"HCT116"
"Multiple","(+)-Abscisic Acid","Myc",-0.074639616284591,0.08079481325671,"HCT116"
"Multiple","(+)-Abscisic Acid","Nras",-0.212183156470435,0.02826138211163,"HCT116"
"Multiple","(+)-Abscisic Acid","P53",0.13446852731663,-0.071396617632647,"HCT116"
"Multiple","(+)-Abscisic Acid","Rab7a",0.18132166066581,0.07966425102567,"HCT116"
"Multiple","(+)-Abscisic Acid","RhoA",0.0857857673706299,0.26929947626806,"HCT116"
"Multiple","(+)-Abscisic Acid","Rpap3",0.15585179621484,-0.00525909911537503,"HCT116"
"Multiple","(+)-Abscisic Acid","Sec16a",0.44950104986125,0.0333044516438801,"HCT116"
"Multiple","(+)-Abscisic Acid","Slc2a1",0.06560652319142,0.04128861399134,"HCT116"
"PARP","3-amino Benzamide","Canx",0.73407143088636,0.17960658836108,"HCT116"
"PARP","3-amino Benzamide","Dnajc5",0.2710508629017,0.05436390585034,"HCT116"
"PARP","3-amino Benzamide","Egfr",-0.0823295753075,-0.046004543758994,"HCT116"
"PARP","3-amino Benzamide","Errfi1",0.21865469239061,0.0871215746821301,"HCT116"
"PARP","3-amino Benzamide","Gapdh",0.0104131910735501,-0.012315646114974,"HCT116"
"PARP","3-amino Benzamide","Kpnb1",-0.02181424904414,0.0600613752511401,"HCT116"
"PARP","3-amino Benzamide","Myc",-0.026656118822935,0.0612102403322401,"HCT116"
"PARP","3-amino Benzamide","Nras",0.0837604971792201,0.09753550072945,"HCT116"
"PARP","3-amino Benzamide","P53",0.33568056779501,-0.026696205832184,"HCT116"
"PARP","3-amino Benzamide","Rab7a",-0.093406656395989,0.0132443387475101,"HCT116"
"PARP","3-amino Benzamide","RhoA",0.25351381910278,0.30836979153942,"HCT116"
"PARP","3-amino Benzamide","Rpap3",0.27710007221882,0.0112742014936,"HCT116"
"PARP","3-amino Benzamide","Sec16a",0.27573394426298,0.0347446024247899,"HCT116"
"PARP","3-amino Benzamide","Slc2a1",-0.019501804613645,0.02211337566894,"HCT116"
"HDAC","SB939","Canx",-0.249005313893562,0.000299681899299964,"HCT116"
"HDAC","SB939","Dnajc5",0.31300170093402,0.13683832599011,"HCT116"
"HDAC","SB939","Egfr",-0.865992717050375,-0.296382861263003,"HCT116"
"HDAC","SB939","Errfi1",-0.530628913572547,-0.245573882813342,"HCT116"
"HDAC","SB939","Gapdh",-0.357355952303744,-0.053756843836085,"HCT116"
"HDAC","SB939","Kpnb1",-0.88699175796238,-0.181294188632651,"HCT116"
"HDAC","SB939","Myc",-0.846637672705209,-0.334745005795243,"HCT116"
"HDAC","SB939","Nras",-0.470204281033722,0.0324657060298299,"HCT116"
"HDAC","SB939","P53",0.3797644992866,-0.049722580877141,"HCT116"
"HDAC","SB939","Rab7a",-0.208435060306471,-0.022926799595383,"HCT116"
"HDAC","SB939","RhoA",0.06571966420781,0.31420105215591,"HCT116"
"HDAC","SB939","Rpap3",1.72623831392488,0.0763234758751901,"HCT116"
"HDAC","SB939","Sec16a",1.38352384327824,0.0294264231664201,"HCT116"
"HDAC","SB939","Slc2a1",-0.584064005115415,-0.213545390102634,"HCT116"
"HDAC","PCI 34051","Canx",0.68105943223621,0.10043559835309,"HCT116"
"HDAC","PCI 34051","Dnajc5",0.45472922238127,0.1281229602053,"HCT116"
"HDAC","PCI 34051","Egfr",-0.037429994563912,0.0070789450598101,"HCT116"
"HDAC","PCI 34051","Errfi1",0.0456772160724701,0.0306871261258901,"HCT116"
"HDAC","PCI 34051","Gapdh",-0.043507513274095,-0.016250013373537,"HCT116"
"HDAC","PCI 34051","Kpnb1",-0.0578069731305,0.0312083356869799,"HCT116"
"HDAC","PCI 34051","Myc",-0.101140180667657,0.08575383841534,"HCT116"
"HDAC","PCI 34051","Nras",-0.283525624628478,0.04276994425168,"HCT116"
"HDAC","PCI 34051","P53",0.52869850487524,-0.061283556672297,"HCT116"
"HDAC","PCI 34051","Rab7a",0.0210022216502599,0.0391115857984199,"HCT116"
"HDAC","PCI 34051","RhoA",0.26296417999871,0.30698567953705,"HCT116"
"HDAC","PCI 34051","Rpap3",0.45717269867816,0.13187590016868,"HCT116"
"HDAC","PCI 34051","Sec16a",0.39596099597588,0.0250401138427601,"HCT116"
"HDAC","PCI 34051","Slc2a1",0.16057744710279,0.14146497423746,"HCT116"
"HDAC","4-iodo-SAHA","Canx",-0.368233379794377,0.04276731620661,"HCT116"
"HDAC","4-iodo-SAHA","Dnajc5",-0.21996879875195,-0.105603695179648,"HCT116"
"HDAC","4-iodo-SAHA","Egfr",-0.175155607604111,-0.071739611674555,"HCT116"
"HDAC","4-iodo-SAHA","Errfi1",-0.228257119167506,-0.153645504175453,"HCT116"
"HDAC","4-iodo-SAHA","Gapdh",-0.315575312226448,-0.116603319141612,"HCT116"
"HDAC","4-iodo-SAHA","Kpnb1",-0.677455901414976,-0.126755534469567,"HCT116"
"HDAC","4-iodo-SAHA","Myc",-0.673592836955661,-0.304156018348707,"HCT116"
"HDAC","4-iodo-SAHA","Nras",-0.476850794630958,0.0144414843971701,"HCT116"
"HDAC","4-iodo-SAHA","P53",-0.180306195298659,0.0502408272977899,"HCT116"
"HDAC","4-iodo-SAHA","Rab7a",0.0941916654486299,0.0271034986784899,"HCT116"
"HDAC","4-iodo-SAHA","RhoA",0.08365117964217,0.29210115274097,"HCT116"
"HDAC","4-iodo-SAHA","Rpap3",1.64554235166124,0.09429845068532,"HCT116"
"HDAC","4-iodo-SAHA","Sec16a",1.18622011243962,0.0580963452415,"HCT116"
"HDAC","4-iodo-SAHA","Slc2a1",-0.341799279877127,-0.076209052898484,"HCT116"
"SIRT","Sirtinol","Canx",0.51623068149756,0.14070290357204,"HCT116"
"SIRT","Sirtinol","Dnajc5",0.0100910027596299,0.0138849625633199,"HCT116"
"SIRT","Sirtinol","Egfr",-0.012268444558369,-0.0149913348046961,"HCT116"
"SIRT","Sirtinol","Errfi1",0.0337588373661999,0.06569067799209,"HCT116"
"SIRT","Sirtinol","Gapdh",-0.018658785552411,-0.00798240624190605,"HCT116"
"SIRT","Sirtinol","Kpnb1",-0.052370717019464,0.0273686974898699,"HCT116"
"SIRT","Sirtinol","Myc",-0.00395346483997705,0.09018855620162,"HCT116"
"SIRT","Sirtinol","Nras",0.0540224688906901,0.10225016084548,"HCT116"
"SIRT","Sirtinol","P53",0.43577531867208,0.04429820485228,"HCT116"
"SIRT","Sirtinol","Rab7a",0.10825542484562,0.0748210027666201,"HCT116"
"SIRT","Sirtinol","RhoA",0.148575070274,0.27561488536407,"HCT116"
"SIRT","Sirtinol","Rpap3",0.67595293588183,0.0898312336024201,"HCT116"
"SIRT","Sirtinol","Sec16a",0.84916285756544,0.05240211523333,"HCT116"
"SIRT","Sirtinol","Slc2a1",0.13859022664551,0.11265843746673,"HCT116"
"HAT","C646","Canx",0.75064775603594,0.14102394460189,"HCT116"
"HAT","C646","Dnajc5",-0.167550613601783,0.07905750901933,"HCT116"
"HAT","C646","Egfr",-0.069186028452806,-0.00610690942004,"HCT116"
"HAT","C646","Errfi1",-0.102401407108812,-0.06270224118069,"HCT116"
"HAT","C646","Gapdh",-0.115064038769901,-0.026981388343685,"HCT116"
"HAT","C646","Kpnb1",-0.172193608626246,-0.031273403121314,"HCT116"
"HAT","C646","Myc",-0.00805102608258801,0.08017836997506,"HCT116"
"HAT","C646","Nras",-0.036982987979248,0.10819370414472,"HCT116"
"HAT","C646","P53",-0.125222678700179,0.10336281518299,"HCT116"
"HAT","C646","Rab7a",0.0370077179814099,0.0389145425365001,"HCT116"
"HAT","C646","RhoA",0.16354729054269,0.27599957721249,"HCT116"
"HAT","C646","Rpap3",0.71484555051841,0.0898797959586699,"HCT116"
"HAT","C646","Sec16a",0.77823661912748,0.0715532429482699,"HCT116"
"HAT","C646","Slc2a1",0.11977083817918,0.12764485185588,"HCT116"
